SITEID,LAT,LON
2007190556.0,-38.1559,147.0207
2007190557.0,-34.8884,118.0008
2007190558.0,-19.2302,146.6271
2007190559.0,-23.5832,136.6201
2007190561.0,-28.1923,133.0045
2007190562.0,-20.985,132.5757
2007190563.0,-13.1075,135.7291
2007190564.0,-21.3653,138.2744
2007190565.0,-17.9393,123.743
2007190566.0,-29.2785,115.1659
2007190567.0,-30.3247,144.0186
2007190568.0,-12.4973,141.8923
2007190569.0,-33.9606,145.5596
2007190570.0,-30.2599,123.1968
2007190571.0,-28.9392,146.7322
2007190572.0,-17.5025,142.3576
2007190574.0,-17.1978,134.3282
2007190575.0,-27.2157,124.4111
2007190576.0,-12.4788,131.0849
2007190577.0,-25.6739,151.2471
2007190578.0,-24.869,134.2434
2007190579.0,-35.2421,148.9513
2007190581.0,-33.5397,139.7024
2007190583.0,-18.0453,138.8558
2007190584.0,-19.9974,146.4337
2007190585.0,-22.2816,142.5147
2007190586.0,-17.6024,131.5759
2007190588.0,-20.8495,116.6073
2007190589.0,-41.5872,147.2361
2007190591.0,-19.4555,141.8203
2007190592.0,-11.4371,132.2584
2007190593.0,-18.3578,132.2387
2007190596.0,-29.2472,138.2117
2007190597.0,-29.1037,150.9507
2007190598.0,-38.4765,144.9344
2007190599.0,-33.7187,135.4207
2007190601.0,-24.5395,132.6341
2007190602.0,-31.33,118.0113
2007190604.0,-19.6173,131.44
2007190605.0,-28.577,150.8206
2007190606.0,-21.8609,146.6716
2007190609.0,-22.6114,140.5624
2007190610.0,-12.3888,142.1766
2007190611.0,-38.6972,145.8836
2007190613.0,-36.7078,149.8954
2007190616.0,-30.6841,132.5593
2007190618.0,-42.4752,146.7231
2007190619.0,-28.9256,148.7617
2007190621.0,-29.2414,137.9044
2007190622.0,-28.0414,136.0533
2007190623.0,-18.6136,132.431
2007190624.0,-22.891,139.9421
2007190625.0,-14.2276,135.576
2007190626.0,-24.6939,143.1238
2007190627.0,-25.6939,140.7531
2007190628.0,-19.1385,134.6076
2007190629.0,-28.8921,149.0494
2007190631.0,-23.217,139.5746
2007190632.0,-38.0876,144.279
2007190633.0,-34.9623,137.4036
2007190634.0,-22.386,114.0508
2007190635.0,-14.323,144.4398
2007190636.0,-31.2966,115.5597
2007190637.0,-12.3035,134.1128
2007190639.0,-37.7745,147.842
2007190641.0,-35.0115,148.1544
2007190642.0,-22.9934,144.5513
2007190643.0,-32.6457,123.9836
2007190644.0,-26.4752,147.9273
2007190645.0,-30.8549,147.0547
2007190646.0,-24.837,140.584
2007190647.0,-16.5266,143.4719
2007190648.0,-18.5621,131.5783
2007190650.0,-24.0136,135.4337
2007190651.0,-31.7481,116.6724
2007190652.0,-37.7022,148.5607
2007190653.0,-38.1913,145.5536
2007190654.0,-21.622,138.3084
2007190655.0,-21.036,130.7608
2007190657.0,-15.6343,131.1302
2007190658.0,-20.7719,120.7372
2007190659.0,-33.6497,123.7598
2007190661.0,-27.0693,149.7135
2007190663.0,-30.9391,150.5307
2007190664.0,-31.6723,121.6198
2007190665.0,-18.6142,141.3057
2007190666.0,-24.996,130.9929
2007190667.0,-14.6683,141.9216
2007190669.0,-21.6789,147.2433
2007190670.0,-25.1215,138.4662
2007190671.0,-37.5778,141.3854
2007190672.0,-23.8114,148.5158
2007190673.0,-24.2784,129.6551
2007190674.0,-14.7337,131.6081
2007190675.0,-33.9096,136.4124
2007190676.0,-30.7155,148.2914
2007190677.0,-33.2895,143.6141
2007190679.0,-21.1391,148.9135
2007190681.0,-20.0589,141.6355
2007190682.0,-34.9323,139.2205
2007190683.0,-23.754,114.3905
2007190684.0,-20.8132,137.6352
2007190685.0,-32.5204,151.9691
2007190686.0,-13.4411,142.3135
2007190687.0,-30.2678,147.2197
2007190688.0,-28.8133,121.0751
2007190689.0,-22.6254,149.652
2007190690.0,-34.9128,116.7876
2007190691.0,-25.9963,114.316
2007190692.0,-32.6919,145.1566
2007190693.0,-27.3952,114.1369
2007190694.0,-27.9613,136.0757
2007190695.0,-18.1705,133.492
2007190697.0,-18.2566,135.15
2007190698.0,-35.0235,144.5277
2007190699.0,-42.8713,147.7001
2007190701.0,-32.1223,118.2078
2007190702.0,-28.7678,114.7232
2007190703.0,-20.7066,143.1343
2007190704.0,-31.5762,147.1769
2007190705.0,-27.356,138.0959
2007190706.0,-20.9459,117.6112
2007190707.0,-33.4026,117.7419
2007190708.0,-16.625,144.5758
2007190709.0,-36.8653,148.414
2007190710.0,-31.8068,117.6543
2007190711.0,-12.127,133.6924
2007190712.0,-17.9361,139.1405
2007190713.0,-19.4979,131.1889
2007190714.0,-24.2014,151.2464
2007190716.0,-28.5593,138.0182
2007190717.0,-30.9629,121.2917
2007190721.0,-29.8512,146.4408
2007190722.0,-36.774,142.0761
2007190723.0,-38.587,146.9091
2007190724.0,-20.8485,130.7418
2007190725.0,-25.7889,146.5987
2007190726.0,-33.6102,115.5585
2007190727.0,-21.1015,131.6979
2007190728.0,-28.1511,135.2796
2007190730.0,-34.1618,115.1836
2007190732.0,-22.3026,144.698
2007190733.0,-15.4813,135.4005
2007190735.0,-31.5958,143.4777
2007190737.0,-22.3193,142.5334
2007190738.0,-25.0219,134.4814
2007190739.0,-33.649,123.7599
2007190741.0,-29.2658,139.2376
2007190742.0,-18.85,141.1951
2007190743.0,-29.8028,138.3645
2007190744.0,-36.2237,139.7805
2007190746.0,-29.011,140.5048
2007190747.0,-23.5776,131.1377
2007190748.0,-31.2721,144.7865
2007190750.0,-29.9465,123.6992
2007190751.0,-28.1152,133.5114
2007190752.0,-14.1842,129.6507
2007190753.0,-29.2966,145.0231
2007190754.0,-24.263,129.7858
2007190755.0,-33.0937,147.0587
2007190756.0,-22.8141,130.3374
2007190757.0,-23.4647,137.8302
2007190758.0,-19.9228,132.5963
2007190759.0,-32.9992,146.5016
2007190761.0,-31.5584,136.3627
2007190762.0,-26.8658,150.1587
2007190763.0,-33.8758,135.4012
2007190764.0,-16.9882,138.311
2007190766.0,-31.621,126.8244
2007190767.0,-17.6942,141.1531
2007190768.0,-33.1572,147.4523
2007190769.0,-30.9285,117.3828
2007190770.0,-17.4721,130.8155
2007190771.0,-31.6829,131.9387
2007190772.0,-17.6364,139.1817
2007190774.0,-18.5614,140.719
2007190775.0,-31.8929,152.4116
2007190776.0,-28.3139,122.7671
2007190778.0,-37.5593,149.1487
2007190779.0,-36.1248,144.9815
2007190781.0,-38.1003,147.0379
2007190782.0,-33.9778,149.1677
2007190783.0,-21.9282,146.9256
2007190785.0,-15.3254,129.0887
2007190787.0,-30.275,144.1019
2007190788.0,-35.347,145.5355
2007190789.0,-16.518,143.3081
2007190790.0,-34.7634,146.5653
2007190791.0,-22.3847,143.1014
2007190792.0,-12.2135,142.9925
2007190793.0,-27.3757,115.9283
2007190794.0,-28.7372,147.1142
2007190795.0,-24.7517,143.9014
2007190796.0,-34.1972,144.1116
2007190798.0,-12.4273,134.6988
2007190799.0,-29.1769,124.6208
2007190802.0,-30.1973,149.5017
2007190803.0,-25.7527,114.2024
2007190805.0,-31.8462,119.9992
2007190806.0,-34.8411,148.3647
2007190807.0,-27.0836,135.5224
2007190809.0,-33.0505,134.319
2007190810.0,-32.1209,116.0335
2007190811.0,-23.0539,141.6502
2007190812.0,-37.7864,144.5886
2007190813.0,-35.0229,144.5282
2007190814.0,-32.1583,136.7845
2007190816.0,-19.557,141.0141
2007190817.0,-18.6792,132.9901
2007190818.0,-34.2657,119.4026
2007190819.0,-28.7638,120.6231
2007190821.0,-16.9476,142.0767
2007190822.0,-30.7745,125.899
2007190823.0,-41.6596,144.9343
2007190825.0,-20.3082,141.1586
2007190826.0,-20.9023,129.3486
2007190827.0,-27.1987,119.9535
2007190829.0,-19.9877,120.2173
2007190830.0,-20.1489,138.039
2007190831.0,-16.8195,141.322
2007190832.0,-29.692,133.4757
2007190833.0,-22.9338,136.7838
2007190834.0,-33.8291,120.7939
2007190835.0,-31.2677,131.6912
2007190836.0,-22.7136,114.3487
2007190838.0,-29.3724,146.7202
2007190839.0,-25.4467,151.6675
2007190841.0,-22.4111,139.96
2007190842.0,-19.5426,140.8561
2007190843.0,-22.6511,150.4609
2007190844.0,-34.5769,135.5716
2007190846.0,-25.7546,142.358
2007190847.0,-34.6643,138.488
2007190848.0,-25.2016,135.6912
2007190849.0,-28.4337,146.6553
2007190850.0,-16.7362,123.9094
2007190851.0,-32.2507,138.1616
2007190852.0,-21.0199,130.103
2007190853.0,-32.272,137.754
2007190854.0,-30.5352,135.5389
2007190855.0,-26.6075,118.1663
2007190856.0,-15.0455,135.2102
