lat,lon,catchment_km2,pct_in_domain
26.0632,75.4,228.1,100.0
26.0632,75.38,228.1,100.0
26.0632,75.36,228.1,100.0
26.0632,75.34,228.1,100.0
26.0632,75.32,228.1,100.0
26.0632,75.3,228.1,100.0
26.0632,75.28,228.1,100.0
26.0632,75.26,228.1,100.0
26.0451,75.4967,241.6,100.0
26.6511,75.76,166.7,100.0
26.4037,75.6503,323.4,100.0
26.0271,75.4967,241.6,100.0
26.1179,74.8,190.8,100.0
26.6511,75.78,166.7,100.0
26.0451,75.4,228.1,100.0
26.0451,75.38,228.1,100.0
26.0451,75.36,228.1,100.0
26.0451,75.34,228.1,100.0
26.6511,75.8,128.2,100.0
26.6511,75.82,128.2,100.0
26.0998,74.9,190.8,100.0
26.0998,74.88,190.8,100.0
25.76,75.42,176.5,100.0
26.8694,75.7208,166.7,100.0
25.7449,74.4755,211.1,100.0
26.707,75.6906,154.6,100.0
26.0631,75.61,241.6,100.0
26.0811,75.51,241.6,100.0
26.0811,75.53,241.6,100.0
25.81,75.51,176.5,100.0
25.81,75.53,176.5,100.0
26.0811,75.55,241.6,100.0
26.0811,75.57,241.6,100.0
26.0811,75.59,241.6,100.0
26.707,75.7306,166.7,100.0
26.707,75.7106,166.7,100.0
26.707,75.6706,154.6,100.0
26.0631,75.57,241.6,100.0
26.707,75.6506,154.6,100.0
26.707,75.6306,154.6,100.0
26.707,75.6106,154.6,100.0
26.707,75.5906,154.6,100.0
25.83,75.51,176.5,100.0
26.0811,75.61,241.6,100.0
26.0811,75.63,241.6,100.0
26.0992,75.51,241.6,100.0
25.7595,74.4167,211.1,100.0
25.7595,74.4363,211.1,100.0
26.0631,75.59,241.6,100.0
26.707,75.75,235.7,100.0
25.7595,74.4755,211.1,100.0
26.725,75.6306,154.6,100.0
26.045,75.53,241.6,100.0
26.725,75.75,235.7,100.0
26.725,75.7306,166.7,100.0
25.78,75.51,176.5,100.0
25.78,75.53,176.5,100.0
25.78,75.55,176.5,100.0
26.725,75.7106,166.7,100.0
26.725,75.6906,166.7,100.0
26.725,75.6706,154.6,100.0
26.725,75.6506,154.6,100.0
26.045,75.55,241.6,100.0
26.725,75.5706,154.6,100.0
26.045,75.57,241.6,100.0
26.045,75.59,241.6,100.0
26.045,75.61,241.6,100.0
26.0631,75.51,241.6,100.0
25.8,75.51,176.5,100.0
25.8,75.53,176.5,100.0
26.0631,75.53,241.6,100.0
26.0631,75.55,241.6,100.0
26.725,75.6106,154.6,100.0
26.725,75.5906,154.6,100.0
25.7595,74.4559,211.1,100.0
25.7595,74.4951,211.1,100.0
26.0269,75.61,241.6,100.0
26.671,75.6506,154.6,100.0
26.671,75.6906,166.7,100.0
25.7953,74.4363,211.1,100.0
26.671,75.6706,154.6,100.0
26.1172,75.53,241.6,100.0
26.1172,75.55,241.6,100.0
26.1172,75.57,241.6,100.0
26.1172,75.59,241.6,100.0
26.1172,75.61,241.6,100.0
25.7953,74.4755,211.1,100.0
25.7953,74.4951,211.1,100.0
26.671,75.6306,154.6,100.0
26.671,75.7306,166.7,100.0
26.671,75.6106,154.6,100.0
26.1172,75.63,241.6,100.0
26.1172,75.65,241.6,100.0
26.1353,75.51,241.6,100.0
26.1353,75.53,241.6,100.0
26.1353,75.55,241.6,100.0
26.1353,75.57,241.6,100.0
26.1353,75.59,241.6,100.0
26.1353,75.61,241.6,100.0
25.74,75.46,176.5,100.0
26.671,75.7106,166.7,100.0
26.671,75.75,235.7,100.0
26.689,75.75,235.7,100.0
26.689,75.6306,154.6,100.0
26.689,75.7306,166.7,100.0
26.689,75.7106,166.7,100.0
26.689,75.6906,154.6,100.0
25.85,75.51,176.5,100.0
25.85,75.53,176.5,100.0
26.0992,75.53,241.6,100.0
26.0992,75.55,241.6,100.0
26.0992,75.57,241.6,100.0
26.689,75.6706,154.6,100.0
26.689,75.6506,154.6,100.0
26.689,75.6106,154.6,100.0
26.689,75.5906,154.6,100.0
25.7772,74.4363,211.1,100.0
25.7772,74.4559,211.1,100.0
25.7772,74.4755,211.1,100.0
25.7772,74.4951,211.1,100.0
25.87,75.51,176.5,100.0
25.87,75.53,176.5,100.0
26.0992,75.59,241.6,100.0
26.0992,75.61,241.6,100.0
26.0992,75.63,241.6,100.0
26.1172,75.51,241.6,100.0
26.045,75.51,241.6,100.0
26.0269,75.59,241.6,100.0
26.653,75.75,166.7,100.0
26.3494,75.5301,167.0,100.0
26.3675,75.51,167.0,100.0
26.4217,75.6102,167.0,100.0
26.4217,75.6303,167.0,100.0
26.3494,75.6703,323.4,100.0
26.3494,75.6503,323.4,100.0
26.3494,75.6303,323.4,100.0
26.3494,75.6102,323.4,100.0
26.3494,75.5902,323.4,100.0
26.3494,75.5701,167.0,100.0
26.3494,75.5501,167.0,100.0
26.3494,75.51,167.0,100.0
26.3675,75.5501,167.0,100.0
26.3314,75.6904,323.4,100.0
26.3314,75.6703,323.4,100.0
26.3314,75.6503,323.4,100.0
26.3314,75.6303,323.4,100.0
26.3314,75.6102,323.4,100.0
26.3314,75.5902,323.4,100.0
26.3314,75.5701,323.4,100.0
26.3314,75.5501,167.0,100.0
26.3314,75.5301,167.0,100.0
26.3314,75.51,167.0,100.0
26.3675,75.5301,167.0,100.0
26.3675,75.5701,167.0,100.0
26.3133,75.6703,323.4,100.0
26.3856,75.5701,167.0,100.0
26.4037,75.6102,167.0,100.0
26.4037,75.5902,167.0,100.0
26.4037,75.5701,167.0,100.0
26.4037,75.5501,167.0,100.0
26.4037,75.5301,167.0,100.0
26.4037,75.51,167.0,100.0
26.3856,75.6503,323.4,100.0
26.3856,75.6303,323.4,100.0
26.3856,75.6102,167.0,100.0
26.3856,75.5902,167.0,100.0
26.3856,75.5501,167.0,100.0
26.3675,75.5902,167.0,100.0
26.3856,75.5301,167.0,100.0
26.3856,75.51,167.0,100.0
26.4217,75.51,167.0,100.0
26.4217,75.5301,167.0,100.0
26.4217,75.5501,167.0,100.0
26.4217,75.5701,167.0,100.0
26.4217,75.5902,167.0,100.0
26.3675,75.6503,323.4,100.0
26.3675,75.6303,323.4,100.0
26.3675,75.6102,167.0,100.0
26.3133,75.6904,323.4,100.0
26.3133,75.6503,323.4,100.0
26.0269,75.51,241.6,100.0
26.259,75.51,326.3,100.0
26.259,75.7104,323.4,100.0
25.4939,74.246,134.7,100.0
25.0089,74.0294,141.8,100.0
25.0089,74.0494,141.8,100.0
26.4398,75.51,167.0,100.0
26.4398,75.5301,167.0,100.0
26.4398,75.5501,167.0,100.0
26.4398,75.5701,167.0,100.0
26.259,75.5501,326.3,100.0
26.259,75.5301,326.3,100.0
26.743,75.75,235.7,100.0
26.2771,75.5301,326.3,100.0
26.743,75.7306,166.7,100.0
26.743,75.6906,166.7,100.0
26.743,75.6706,154.6,100.0
26.743,75.6506,154.6,100.0
26.743,75.6306,154.6,100.0
25.76,75.51,176.5,100.0
25.76,75.53,176.5,100.0
26.743,75.6106,154.6,100.0
26.743,75.5906,154.6,100.0
26.743,75.5706,154.6,100.0
26.2771,75.51,326.3,100.0
26.2771,75.5501,326.3,100.0
26.3133,75.6303,323.4,100.0
26.2952,75.6303,323.4,100.0
26.3133,75.6102,323.4,100.0
26.3133,75.5902,323.4,100.0
26.3133,75.5701,323.4,100.0
26.3133,75.5501,326.3,100.0
26.3133,75.5301,326.3,100.0
26.3133,75.51,326.3,100.0
26.2952,75.7104,323.4,100.0
26.2952,75.6904,323.4,100.0
26.2952,75.6703,323.4,100.0
26.2952,75.6503,323.4,100.0
26.2952,75.6102,323.4,100.0
26.2771,75.5701,326.3,100.0
26.2952,75.5902,323.4,100.0
26.2952,75.5701,323.4,100.0
26.2952,75.5501,326.3,100.0
26.2952,75.5301,326.3,100.0
26.2952,75.51,326.3,100.0
26.2771,75.7104,323.4,100.0
26.2771,75.6904,323.4,100.0
26.2771,75.6703,323.4,100.0
26.2771,75.6503,323.4,100.0
26.2771,75.6303,323.4,100.0
25.74,75.44,176.5,100.0
26.653,75.7306,166.7,100.0
25.7449,74.4559,211.1,100.0
25.5811,74.299,272.3,100.0
25.563,74.3383,272.3,100.0
25.563,74.3579,272.3,100.0
25.563,74.3775,272.3,100.0
25.563,74.3971,272.3,100.0
25.563,74.4167,272.3,100.0
25.563,74.4363,272.3,100.0
25.563,74.4559,400.8,100.0
25.563,74.4755,400.8,100.0
25.5811,74.2598,134.7,100.0
25.5811,74.2794,272.3,100.0
25.5811,74.3186,272.3,100.0
25.563,74.299,134.7,100.0
25.5811,74.3383,272.3,100.0
25.5811,74.3579,272.3,100.0
25.5811,74.3775,272.3,100.0
25.5811,74.3971,272.3,100.0
25.5811,74.4167,272.3,100.0
25.5811,74.4363,400.8,100.0
25.5811,74.4559,400.8,100.0
25.5811,74.4755,400.8,100.0
25.5992,74.299,272.3,100.0
25.5992,74.3186,272.3,100.0
25.563,74.3186,134.7,100.0
25.563,74.2794,134.7,100.0
25.5992,74.3579,272.3,100.0
25.5269,74.4363,272.3,100.0
25.5089,74.4363,272.3,100.0
25.5269,74.2598,134.7,100.0
25.5269,74.2794,134.7,100.0
25.5269,74.299,134.7,100.0
25.5269,74.3186,134.7,100.0
25.5269,74.3383,134.7,100.0
25.5269,74.3579,134.7,100.0
25.5269,74.3775,134.7,100.0
25.5269,74.3971,272.3,100.0
25.5269,74.4167,272.3,100.0
25.545,74.2598,134.7,100.0
25.563,74.2598,134.7,100.0
25.545,74.2794,134.7,100.0
25.545,74.299,134.7,100.0
25.545,74.3186,134.7,100.0
25.545,74.3383,134.7,100.0
25.545,74.3579,272.3,100.0
25.545,74.3775,272.3,100.0
25.545,74.3971,272.3,100.0
25.545,74.4167,272.3,100.0
25.545,74.4363,272.3,100.0
25.545,74.4559,400.8,100.0
25.5992,74.3383,272.3,100.0
25.5992,74.3775,272.3,100.0
25.5089,74.3971,272.3,100.0
25.6906,74.4167,211.1,100.0
25.6543,74.4167,400.8,100.0
25.6543,74.4363,400.8,100.0
25.6722,74.3383,211.1,100.0
25.6722,74.3579,211.1,100.0
25.6722,74.3775,211.1,100.0
25.6722,74.3971,211.1,100.0
25.6722,74.4167,211.1,100.0
25.6906,74.3579,211.1,100.0
25.6906,74.3775,211.1,100.0
25.6906,74.3971,211.1,100.0
