lat,lon,catchment_km2,pct_in_domain
25.6175,74.6893,145.1,100.0
25.6721,74.7092,204.2,100.0
25.6176,74.6693,145.1,100.0
25.6176,74.6493,204.2,100.0
25.6176,74.6294,204.2,100.0
25.6177,74.6096,204.2,100.0
25.6177,74.5895,204.2,100.0
25.6177,74.5697,116.6,100.0
25.6177,74.5498,116.6,100.0
25.6176,74.5297,116.6,100.0
25.6358,74.6694,204.2,100.0
25.6358,74.6893,145.1,100.0
25.6356,74.709,145.1,100.0
25.6355,74.729,145.1,100.0
25.6721,74.6892,204.2,100.0
25.6721,74.6694,204.2,100.0
25.6721,74.6494,204.2,100.0
25.6721,74.6296,204.2,100.0
25.81,75.09,199.0,100.0
25.81,75.11,199.0,100.0
25.6538,74.7446,204.2,100.0
25.654,74.729,204.2,100.0
25.6538,74.7092,204.2,100.0
25.6539,74.6893,204.2,100.0
25.6539,74.6694,204.2,100.0
25.654,74.6495,204.2,100.0
25.654,74.6295,204.2,100.0
25.654,74.6096,204.2,100.0
25.81,75.13,199.0,100.0
25.81,75.15,199.0,100.0
25.6354,74.7446,145.1,100.0
25.85,75.17,199.0,100.0
25.5452,74.5696,116.6,100.0
25.422,74.743,231.4,100.0
25.4761,74.8203,231.4,100.0
25.44,74.689,231.4,100.0
25.44,74.709,231.4,100.0
25.4941,74.8403,231.4,100.0
25.4941,74.8203,231.4,100.0
25.4941,74.8001,231.4,100.0
25.494,74.7801,231.4,100.0
25.494,74.7601,231.4,100.0
25.44,74.729,231.4,100.0
25.9,75.13,120.2,100.0
25.4761,74.8404,231.4,100.0
25.9,75.15,120.2,100.0
25.9,75.01,199.0,100.0
25.44,74.743,231.4,100.0
25.458,74.51,109.7,100.0
25.458,74.53,109.7,100.0
25.87,75.19,120.2,100.0
25.87,75.17,120.2,100.0
25.4761,74.7999,231.4,100.0
25.476,74.7802,231.4,100.0
25.87,75.15,199.0,100.0
25.4761,74.7601,231.4,100.0
25.4578,74.8203,231.4,100.0
25.44,74.669,231.4,100.0
25.4941,74.8605,231.4,100.0
25.9,75.11,120.2,100.0
25.89,75.01,199.0,100.0
25.98,75.13,185.9,100.0
25.89,75.19,120.2,100.0
25.44,74.59,109.7,100.0
25.94,75.15,120.2,100.0
25.89,75.17,120.2,100.0
25.89,75.15,120.2,100.0
25.89,75.13,120.2,100.0
25.89,75.11,199.0,100.0
25.9,75.05,199.0,100.0
25.94,75.17,120.2,100.0
25.44,74.57,109.7,100.0
25.44,74.55,109.7,100.0
25.9,75.07,199.0,100.0
25.9,75.09,120.2,100.0
25.2592,74.2269,162.6,100.0
25.2592,74.246,162.6,100.0
25.2766,74.246,162.6,100.0
25.89,75.09,199.0,100.0
25.89,75.07,199.0,100.0
25.89,75.05,199.0,100.0
25.89,75.03,199.0,100.0
25.4578,74.8,231.4,100.0
25.4579,74.7802,231.4,100.0
25.9,75.17,120.2,100.0
25.92,75.05,199.0,100.0
25.94,75.13,120.2,100.0
25.94,75.11,120.2,100.0
25.92,75.07,199.0,100.0
25.92,75.09,120.2,100.0
25.98,75.03,185.9,100.0
25.98,75.05,185.9,100.0
25.92,75.11,120.2,100.0
26.0,75.03,185.9,100.0
26.0,75.01,185.9,100.0
25.98,75.07,185.9,100.0
25.98,75.09,185.9,100.0
25.98,75.11,185.9,100.0
25.94,75.09,120.2,100.0
25.94,75.07,120.2,100.0
25.87,75.03,199.0,100.0
25.92,75.13,120.2,100.0
25.92,75.15,120.2,100.0
25.92,75.17,120.2,100.0
25.94,75.05,199.0,100.0
25.94,75.03,199.0,100.0
25.94,75.01,199.0,100.0
25.98,75.01,185.9,100.0
25.44,74.53,109.7,100.0
25.9,75.03,199.0,100.0
25.9,75.19,120.2,100.0
25.92,75.01,199.0,100.0
25.87,75.11,199.0,100.0
25.87,75.09,199.0,100.0
25.87,75.07,199.0,100.0
25.87,75.05,199.0,100.0
